"# Dubai districts: registered sales and median prices 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-26. Free to republish with attribution and a link to https://data.tex.ae"
area,sales,median_psf,median_price,offplan_share,total_value
MADINAT AL MATAAR,12003,1690,913187,0.978,16410877230
JUMEIRAH VILLAGE CIRCLE,7570,1469,1030000,0.577,9083510988
BUSINESS BAY,4859,2474,2250000,0.513,20442911604
DUBAI LAND RESIDENCE COMPLEX,4782,1426,812851,0.909,4513477477
MAJAN,4069,1443,725000,0.838,3855528584
AL YELAYISS 1,3760,1822,2903000,0.91,12701554154
PALM DEIRA,3477,2857,2865333,1.0,12094627831
AL HEBIAH FIFTH,2727,1721,1317000,0.716,5192227891
ARJAN,2537,1589,958000,0.629,2851996208
CITY OF ARABIA,2440,1701,612810,0.988,2178952701
JABAL ALI FIRST,2372,1657,1673000,0.955,4426193266
DUBAI PRODUCTION CITY,2291,1345,979555,0.764,2308715703
JUMEIRAH VILLAGE TRIANGLE,2201,1662,1158487,0.798,2989339579
DUBAI SPORTS CITY,1978,1316,905140,0.619,2059974621
AL KHAIRAN FIRST,1901,2630,2949888,1.0,5705150745
DUBAI INVESTMENT PARK FIRST,1779,1149,960000,0.935,2234694753
AL FURJAN,1682,1416,1250000,0.54,2575675428
DOWN TOWN JABAL ALI,1649,1652,784938,0.945,1749456111
MOTOR CITY,1636,1673,1336064,0.727,2856382348
BUSINESS PARK,1606,3552,1400000,1.0,3149047192
BURJ KHALIFA,1590,2870,3200000,0.25,8036726615
JUMEIRAH LAKES TOWERS,1515,1619,1600000,0.295,3203620542
DUBAI MARINA,1452,2010,2080450,0.073,3709858070
JABAL ALI INDUSTRIAL SECOND,1317,1739,742810,1.0,1281235211
DUBAI SOUTH,1284,1239,1026788,0.579,1406371426
SILICON OASIS,1249,1135,1020000,0.356,1647650456
INTERNATIONAL CITY PH 1,1242,734,490000,0.271,818422267
DUBAI INVESTMENT PARK SECOND,1233,1483,1507000,0.766,3355214971
AL SATWA,1200,2264,1475360,0.915,2073724110
INTERNATIONAL CITY PH 2 & 3,1113,1153,800000,0.698,1524705203
DUBAI SCIENCE PARK,1065,1741,1075293,0.882,1556690234
DAMAC HILLS,1026,1650,1250500,0.541,2089307292
DUBAI STUDIO CITY,1024,1531,723014,0.749,835410292
HORIZON,1020,2373,2121858,1.0,3076814585
HADAEQ SHEIKH MOHAMMED BIN RASHID,987,2491,2700888,0.738,6690799389
MEYDAN ONE,980,2103,1030000,0.344,1468456941
DUBAI CREEK HARBOUR,969,2330,2550000,0.109,2724436384
WADI AL SAFA 5,933,1567,3126504,0.734,3430668231
DUBAI MARITIME CITY,933,3258,2244600,0.983,2271038487
MADINAT HIND 4,912,1056,1617990,0.05,1450703017
AL YELAYISS 2,899,1623,1570888,0.71,1506449604
DUBAI HILLS,891,2277,2425828,0.169,4200239648
BUKADRA,848,2900,2163262,0.995,2181806661
MADINAT DUBAI ALMELAHEYAH,805,2964,3155000,0.995,3647702595
SAMA AL JADAF,780,2186,1298188,1.0,986953719
AL YUFRAH 1,778,1464,3100000,0.54,3169752606
AL THANYAH FIFTH,776,2520,2274328,1.0,2198474704
WADI AL SAFA 4,770,1879,1667026,0.99,1802891297
DISCOVERY GARDENS,767,968,745000,0.0,787224652
PALM JUMEIRAH,750,3478,5750000,0.349,8134698076
SOBHA HEARTLAND,743,2005,1880000,0.105,1995449696
WADI AL SAFA 3,740,1856,2496000,0.736,4266820864
AL WASL,739,3321,3337000,0.923,3605627629
AL HEBIAH FIRST,695,1943,867999,1.0,1045405986
TECOM SITE A,685,4055,2433340,0.88,2388896379
ZAABEEL SECOND,657,3154,3835000,0.88,2803602014
ME'AISEM SECOND,615,1778,15810888,0.0,11357664173
DUBAI INDUSTRIAL CITY,599,1429,599000,0.952,424503213
LIWAN,573,1105,874777,0.398,601840017
DUBAI HEALTHCARE CITY - PHASE 2,523,1938,1499827,0.424,906198344
TOWN SQUARE,478,1324,1200000,0.142,682598436
NAD AL SHIBA FIRST,423,2202,6367000,0.591,3471862065
SAIH SHUAIB 1,395,2712,6575000,1.0,3155657902
DMCC-EZ2,380,2900,2538497,0.989,953198060
LIVING LEGENDS,369,1313,1013358,0.77,535516003
WARSAN FIRST,348,1366,565978,0.865,285201438
MARSA DUBAI,339,4460,7875000,0.876,3399447416
WADI AL SAFA 7,327,1328,1257449,0.456,760023035
PALM JABAL ALI,323,3504,4375000,1.0,1797400300
FALCON CITY OF WONDERS,318,1604,1374614,0.943,527867789
UM SUQAIM THIRD,317,2767,3492000,0.763,1264760760
THE GREENS,294,1819,1937072,0.0,622030971
