"# Dubai buildings by registered sales 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-23. Free to republish with attribution and a link to https://data.tex.ae"
project,area,sales,median_psf,median_price,offplan_share
AZIZI VENICE 14,MADINAT AL MATAAR,1931,1652,650000,1.0
DAMAC LAGOONS - VALENCIA,AL HEBIAH FIFTH,1231,1843,783000,1.0
Maybach Six,BUSINESS PARK,1047,3578,1398000,1.0
Azizi Venice 6,MADINAT AL MATAAR,945,2043,745000,1.0
Binghatti Skyflame 1,MAJAN,764,1376,570000,1.0
Azizi Venice 15,MADINAT AL MATAAR,755,1714,711000,1.0
Azizi Milan Heights ,CITY OF ARABIA,730,1755,608000,1.0
Creek Bay,AL KHAIRAN FIRST,681,2736,3295888,1.0
azizi venice 13 ,MADINAT AL MATAAR,628,1683,655000,1.0
Binghatti Vintage,MAJAN,627,1850,698999,1.0
Hado By Beyond,PALM DEIRA,622,3156,3037500,1.0
AZIZI VENICE 7,MADINAT AL MATAAR,622,1861,685500,1.0
ELTIERA VIEWS ,AL THANYAH FIFTH,620,2499,2236828,1.0
Binghatti Skyterraces,AL HEBIAH FIRST,620,1871,859999,1.0
azizi venice 12,MADINAT AL MATAAR,604,1685,730025,1.0
Sobha Central ,JABAL ALI FIRST,598,3240,2093642,1.0
RAW DISTRICT BY IMTIAZ R,JABAL ALI INDUSTRIAL SECOND,542,1761,764472,1.0
Shahrukhz by Danube,TECOM SITE A,535,4119,2309000,1.0
Serenz by Danube,JUMEIRAH VILLAGE CIRCLE,535,2247,1194240,1.0
SIERRA BY IMAN,MOTOR CITY,504,1680,1312883,1.0
Binghatti Cullinan,SAMA AL JADAF,502,2201,1452499,1.0
THE MERIVA COLLECTION,PALM DEIRA,479,3448,4023828,1.0
Skyvue,BUKADRA,475,2995,2207710,1.0
Terra Woods,MADINAT AL MATAAR,472,2191,1723888,1.0
DAMAC ISLANDS 2 - BAHAMAS 2,AL YELAYISS 1,464,1822,2824000,1.0
Creek Haven,AL KHAIRAN FIRST,464,2683,1982388,1.0
RAW DISTRICT BY IMTIAZ CR,DOWN TOWN JABAL ALI,462,1800,1173994,1.0
Samana Boulevard Heights,DUBAI LAND RESIDENCE COMPLEX,440,1602,801500,1.0
DAMAC ISLANDS 2 - CUBA,AL YELAYISS 1,437,1772,2825000,1.0
AZIZI VENICE 10,MADINAT AL MATAAR,422,1724,655000,1.0
DAMAC ISLANDS 2 - BAHAMAS 1,AL YELAYISS 1,420,1822,2982000,0.96
DAMAC DISTRICT,DAMAC HILLS,416,1822,1251840,1.0
AZIZI VENICE 11,MADINAT AL MATAAR,405,1673,669240,1.0
Binghatti Skyflame 2,MAJAN,402,1396,575000,1.0
Breez by Danube,DUBAI MARITIME CITY,402,3490,1714965,1.0
