"# Dubai median prices by district, bedroom count and property type 2026 - TEX & TEX Real Estate, computed from Dubai Land Department open data, generated 2026-09-17. Free to republish with attribution and a link to https://data.tex.ae"
area,rooms,ptype,sales,median_psf,median_price,median_sqft
ABU HAIL,Not specified,Land,26,638,1600000,2500
AL BADA,Not specified,Land,23,1520,5285512,3000
AL BARAHA,Not specified,Land,5,1038,3500000,3454
AL BARARI,1 B/R,Unit,87,1738,2310709,1154
AL BARARI,2 B/R,Unit,101,2739,5254715,1877
AL BARARI,3 B/R,Unit,27,2906,7358390,2486
AL BARARI,4 B/R,Unit,5,3222,12562333,3923
AL BARARI,Not specified,Land,12,2929,40250000,13164
AL BARARI,Studio,Unit,15,1738,974801,560
AL BARSHA FIRST,1 B/R,Unit,35,1800,1839078,1022
AL BARSHA FIRST,2 B/R,Unit,36,1800,2816163,1558
AL BARSHA FIRST,3 B/R,Unit,10,1800,4466718,2482
AL BARSHA SECOND,Not specified,Land,11,567,7500000,15000
AL BARSHA THIRD,Not specified,Land,11,582,7500000,15000
AL BARSHAA SOUTH FIRST,Not specified,Land,5,521,5200000,12000
AL BARSHAA SOUTH THIRD,1 B/R,Unit,6,997,835000,836
AL FURJAN,1 B/R,Unit,404,1391,1100000,798
AL FURJAN,2 B/R,Unit,447,1283,1675000,1285
AL FURJAN,3 B/R,Building,28,1835,3587500,1910
AL FURJAN,3 B/R,Unit,139,1296,2300000,1796
AL FURJAN,4 B/R,Building,36,1826,3837500,2381
AL FURJAN,NA,Unit,37,2446,2765000,989
AL FURJAN,Not specified,Land,58,1261,5700000,6458
AL FURJAN,Studio,Unit,474,1548,555500,352
AL GOZE FIRST,Not specified,Land,20,478,3600000,9930
AL HEBIAH FIFTH,1 B/R,Unit,562,1665,1257000,759
AL HEBIAH FIFTH,2 B/R,Unit,168,1568,1833500,1165
AL HEBIAH FIFTH,3 B/R,Building,207,1435,1698000,1137
AL HEBIAH FIFTH,4 B/R,Building,17,1202,2217000,1894
AL HEBIAH FIFTH,5 B/R,Building,12,1417,2483850,1705
AL HEBIAH FIFTH,NA,Unit,42,3051,7212760,2434
AL HEBIAH FIFTH,Not specified,Land,729,1628,2864640,1550
AL HEBIAH FIFTH,Studio,Unit,850,1911,734000,386
AL HEBIAH FIRST,1 B/R,Unit,168,1538,1200000,745
AL HEBIAH FIRST,2 B/R,Unit,17,1682,2125999,1277
AL HEBIAH FIRST,NA,Unit,7,2989,2841030,949
AL HEBIAH FIRST,Office,Unit,17,2548,5826000,2477
AL HEBIAH FIRST,Studio,Unit,386,2089,813999,390
AL HEBIAH FOURTH,3 B/R,Building,28,2630,4170000,1523
AL HEBIAH FOURTH,4 B/R,Building,55,2236,7000000,2566
AL HEBIAH FOURTH,5 B/R,Building,9,2474,6150000,2455
AL HEBIAH FOURTH,Not specified,Land,89,2092,12825000,6488
AL HEBIAH SIXTH,3 B/R,Building,156,1829,3400000,1837
AL HEBIAH SIXTH,4 B/R,Building,108,1490,4400000,2847
AL HEBIAH THIRD,Not specified,Land,107,2098,3688000,1659
AL JADAF,1 B/R,Unit,22,1848,1407749,862
AL JADAF,2 B/R,Unit,18,1613,2183500,1360
AL JADAF,3 B/R,Unit,6,2461,4293749,1773
AL JADAF,Studio,Unit,37,2049,880000,447
AL JAFLIYA,Not specified,Land,9,600,2700000,3261
AL KHAIL HEIGHTS,1 B/R,Unit,35,883,965000,1073
AL KHAIL HEIGHTS,2 B/R,Unit,9,971,1400000,1461
AL KHAIL HEIGHTS,Studio,Unit,26,1016,600000,599
AL KHAIRAN FIRST,1 B/R,Unit,850,2621,1970888,753
AL KHAIRAN FIRST,2 B/R,Unit,762,2700,3384888,1248
AL KHAIRAN FIRST,3 B/R,Unit,207,2680,5531888,1855
AL KHAWANEEJ FIRST,Not specified,Land,21,594,9897000,16604
AL KHEERAN,2 B/R,Unit,11,1289,2450000,1840
AL KHEERAN,3 B/R,Unit,6,1364,3500000,2506
AL KIFAF,1 B/R,Unit,31,2194,1820000,887
AL KIFAF,2 B/R,Unit,103,2101,2700000,1211
AL KIFAF,3 B/R,Unit,55,2354,4070433,1712
AL MAMZER,Not specified,Land,12,637,9800000,14896
AL MARARR,Not specified,Land,5,640,2250000,1693
AL MERKADH,1 B/R,Unit,47,2028,1493371,743
AL MERKADH,2 B/R,Unit,35,2076,2490000,1268
AL MERKADH,Not specified,Land,27,2398,15200000,6355
AL MIZHAR FIRST,Not specified,Land,9,400,4900000,15000
AL MIZHAR SECOND,Not specified,Land,11,300,6000000,20000
AL NAHDA FIRST,Not specified,Land,6,1117,32500000,29091
AL RASHIDIYA,Not specified,Land,38,358,1800000,6400
AL ROWAIYAH FIRST,3 B/R,Building,25,2649,3492320,1292
AL ROWAIYAH FIRST,4 B/R,Building,32,3152,4405000,1357
AL ROWAIYAH FIRST,5 B/R,Building,21,2487,6283000,2314
AL SAFFA SECOND,Not specified,Land,5,282,1590000,5645
AL SATWA,1 B/R,Unit,563,2163,1606900,735
AL SATWA,2 B/R,Unit,134,2150,2337608,1094
AL SATWA,3 B/R,Unit,5,2143,4003300,1867
AL SATWA,NA,Unit,11,3878,2851777,696
AL SATWA,Not specified,Land,21,2000,7500000,6400
AL SATWA,Studio,Unit,447,2414,1032454,418
AL THANYAH FIFTH,1 B/R,Unit,415,2491,2044828,811
AL THANYAH FIFTH,2 B/R,Unit,259,2524,3340828,1284
AL THANYAH FIFTH,3 B/R,Unit,70,2530,4262328,1672
AL THANYAH FIFTH,4 B/R,Unit,9,2806,8485000,2850
AL THANYAH FIFTH,Studio,Unit,7,2541,1406828,555
AL TWAR FIFTH,Not specified,Land,6,427,5125000,14455
AL TWAR FIRST,Not specified,Land,5,286,2720000,9244
AL TWAR FOURTH,Not specified,Land,19,289,1851300,6400
AL TWAR SECOND,Not specified,Land,12,291,3550000,12440
AL WAHA,2 B/R,Unit,5,1116,1930000,1730
AL WAHA,Not specified,Land,10,929,5015000,5708
AL WAHEDA,Not specified,Land,24,437,1550000,2750
AL WARQA FIRST,Not specified,Land,6,975,11625000,15000
AL WARQA FOURTH,Not specified,Land,5,335,4200000,11708
AL WARQA SECOND,Not specified,Land,5,314,4100000,13050
AL WARQA THIRD,Not specified,Land,10,382,4895000,12320
AL WARSAN THIRD,Not specified,Land,41,260,1402000,5005
AL WASL,1 B/R,Unit,292,3343,2704000,796
AL WASL,2 B/R,Unit,225,3190,3995000,1322
AL WASL,3 B/R,Unit,122,3653,8560876,2331
AL WASL,4 B/R,Unit,11,3232,16686000,5338
AL WASL,Not specified,Land,15,1160,9900000,10013
AL WASL,Studio,Unit,49,3324,1311000,395
AL YELAYISS 1,4 B/R,Building,2210,1822,2824000,1550
AL YELAYISS 1,5 B/R,Building,1191,1941,4163000,2461
AL YELAYISS 1,Not specified,Land,313,1812,3042000,1550
AL YELAYISS 2,1 B/R,Unit,281,1786,1125888,639
AL YELAYISS 2,2 B/R,Unit,439,1609,1615888,996
AL YELAYISS 2,3 B/R,Building,67,1522,2970000,1904
AL YELAYISS 2,3 B/R,Unit,61,1591,2585888,1528
AL YELAYISS 2,4 B/R,Building,29,1214,3510000,2816
AL YELAYISS 2,Studio,Unit,8,1797,662500,339
AL YUFRAH 1,1 B/R,Unit,141,1875,1017994,540
AL YUFRAH 1,2 B/R,Unit,49,1875,1714921,889
AL YUFRAH 1,3 B/R,Building,182,1509,2730000,1873
AL YUFRAH 1,4 B/R,Building,172,1154,3752384,3186
AL YUFRAH 1,5 B/R,Building,7,1024,5450000,5019
AL YUFRAH 1,Not specified,Land,186,1193,7554388,6938
ARABIAN RANCHES I,2 B/R,Building,27,1447,3950000,2710
ARABIAN RANCHES I,3 B/R,Building,56,1412,4999999,3776
ARABIAN RANCHES I,Not specified,Land,93,1349,10500000,7786
ARABIAN RANCHES II,3 B/R,Building,9,2027,3625000,1946
ARABIAN RANCHES II,4 B/R,Building,11,1526,4500000,2983
ARABIAN RANCHES II,Not specified,Land,44,1326,6525000,4650
ARABIAN RANCHES III,3 B/R,Building,50,2123,3000000,1387
ARABIAN RANCHES III,4 B/R,Building,18,1812,4337500,2407
ARJAN,1 B/R,Unit,944,1547,1181497,763
ARJAN,2 B/R,Unit,319,1389,1659046,1221
ARJAN,3 B/R,Unit,47,1243,2355868,1760
ARJAN,NA,Unit,88,2095,2474960,1192
ARJAN,Office,Unit,34,1099,742216,615
ARJAN,Shop,Unit,9,1598,1380009,859
ARJAN,Studio,Unit,1005,1761,720000,422
BARSHA HEIGHTS,1 B/R,Unit,33,1525,1123872,729
BARSHA HEIGHTS,2 B/R,Unit,21,1147,1620000,1307
BARSHA HEIGHTS,NA,Unit,14,2300,4405260,1915
BARSHA HEIGHTS,Office,Unit,92,2000,2599748,1570
BARSHA HEIGHTS,Studio,Unit,51,2535,870169,327
BLUEWATERS,1 B/R,Unit,14,4928,5625000,1138
BLUEWATERS,2 B/R,Unit,19,4737,7650000,1604
BLUEWATERS,3 B/R,Unit,20,5911,12125000,2100
BUKADRA,1 B/R,Unit,516,2876,1889458,709
BUKADRA,2 B/R,Unit,249,3017,2708491,912
BUKADRA,3 B/R,Unit,36,2588,4210700,1653
BUKADRA,NA,Unit,17,7000,7255220,1036
BURJ KHALIFA,1 B/R,Unit,537,2581,2250000,874
BURJ KHALIFA,2 B/R,Unit,604,2773,3800000,1366
BURJ KHALIFA,3 B/R,Unit,196,3609,7475000,2092
BURJ KHALIFA,4 B/R,Unit,53,5094,25000000,5176
BURJ KHALIFA,5 B/R,Unit,7,5425,33500000,6175
BURJ KHALIFA,NA,Unit,5,3853,2963598,1107
BURJ KHALIFA,Office,Unit,8,5031,18750000,3738
BURJ KHALIFA,Studio,Unit,111,3060,1400000,479
BUSINESS BAY,1 B/R,Unit,1595,2403,2000000,828
BUSINESS BAY,2 B/R,Unit,939,2417,3003900,1354
BUSINESS BAY,3 B/R,Unit,234,2497,4726500,1960
BUSINESS BAY,4 B/R,Unit,38,2585,12064500,4435
BUSINESS BAY,6 B/R,Unit,5,3229,34097750,9439
BUSINESS BAY,NA,Unit,672,4750,4009841,1404
BUSINESS BAY,Office,Unit,417,1953,2016475,1152
BUSINESS BAY,Shop,Unit,45,2880,2350000,880
BUSINESS BAY,Studio,Unit,735,2389,1085000,448
BUSINESS PARK,1 B/R,Unit,310,3802,2372000,614
BUSINESS PARK,2 B/R,Unit,147,3295,3303000,983
BUSINESS PARK,3 B/R,Unit,34,3572,5289500,1547
BUSINESS PARK,NA,Unit,33,7342,5841892,767
BUSINESS PARK,Studio,Unit,1058,3546,1374000,390
CHERRYWOODS,3 B/R,Building,11,1677,3250000,1938
CHERRYWOODS,4 B/R,Building,9,1327,3750000,2713
CITY OF ARABIA,1 B/R,Unit,651,1571,1106000,721
CITY OF ARABIA,2 B/R,Unit,110,1842,2231500,1209
